City,DH_VU,DH_RU,DH_RS,DH_VS,GS_VU,GS_RU,GS_RS,GS_VS,QA_VU,QA_RU,QA_RS,QA_VS,SL_VU,SL_RU,SL_RS,SL_VS,GJ_VU,GJ_RU,GJ_RS,GJ_VS,SN_VU,SN_RU,SN_RS,SN_VS,GH_VU,GH_RU,GH_RS,GH_VS,A_15_24,A_25_39,A_40_54,A_55_100
Verona,9.48624595469256,13.2888349514563,50.5461165048544,26.6788025889968,8.38214502120784,19.5112098565946,48.5659462734801,23.5406988487174,18.7029414717398,39.9156711173577,37.6267443027808,3.75464310812167,3.79949874686717,7.23809523809524,49.1629072681704,39.7994987468672,22.3695198329854,30.8246346555324,39.1649269311065,7.64091858037578,14.6289752650177,21.7566885411408,50.5098435133771,13.1044926804644,20.1291079812207,35.8333333333333,36.5140845070423,7.52347417840376,11.05,19.32,26.16,43.47
Vilnius,10.6507059545734,28.3404951913239,42.7255985267035,18.2832003273992,3.27221152872049,12.4708742781886,53.6723736196941,30.5845405733968,6.05131350301543,22.6413165695594,52.4685679239497,18.8388020034754,2.37305178481649,4.87682252388135,32.3479135243841,60.402212166918,11.2083664885757,24.7470728657497,45.1744913038536,18.8700693418211,7.67801857585139,17.3065015479876,52.7554179566563,22.2600619195046,24.8784637822071,36.6674769081186,28.5974720466699,9.85658726300437,10.02,33.41,24.48,32.09
Luxembourg,3.00827781142742,8.75227135069655,47.7791237633757,40.4603270745003,2.53407370015144,9.41948510853104,36.9106511862696,51.1357900050479,4.77302731796486,15.9845638265462,52.2697268203514,26.9726820351376,1.28346535646245,5.35445703399178,25.6893612754437,67.6727163341021,13.738338516215,29.9533540648601,45.0910706352732,11.2172367836517,4.10375924612423,12.9496402877698,44.8576350187456,38.0889654473604,50.4585286325657,35.500305685755,7.5402486244141,6.50091705726513,13.64,27.23,19.15,39.97
Riga,18.2933167030454,34.7261199459516,38.0209957384887,8.95956761251429,4.94606146957053,10.5841644616324,54.1624262161612,30.3073478526359,7.62987012987013,24.5941558441558,52.4756493506494,15.3003246753247,6.36655303789854,13.5452175656707,53.1381592139563,26.9500701824744,17.6419309142421,29.8790454396862,41.113653699466,11.3653699466056,9.60237753638041,18.7026029924165,52.9616724738676,18.7333469973355,27.682755388941,45.0679475164011,19.0135895032802,8.23570759137769,10.13,27.42,23.55,38.89
Valletta,9.2777898629541,13.8677398303241,33.5218620839678,43.332608222754,27.1035598705502,29.4296116504854,23.5335760517799,19.9332524271845,30.0010037137408,34.0459700893305,23.9285355816521,12.0244906152765,3.76241597270994,14.5580415370723,35.4369419082974,46.2426005819203,26.3386566463128,30.1550023485204,25.3522780648192,18.1540629403476,7.54620647401205,15.6029817216379,34.1672623302359,42.6835494741142,28.5536863497798,25.3697640284521,29.3327311730834,16.7438184486847,12.18,28.81,21.91,37.1
Amsterdam,3.93525543753161,7.8199291856348,42.2660596863935,45.9787556904401,4.490083559851,9.58421423537702,44.9109030504379,41.014799154334,11.1905763567522,23.9377366428271,50.2839713925116,14.5877156079091,1.72448567970956,7.05929810407422,29.0439693424768,62.1722468737394,18.0165289256198,27.9574970484061,34.4628099173554,19.5631641086187,6.93706579485084,14.3543114017164,47.1393543114017,31.5692684920311,58.0496780128795,25.7794132679137,9.61872636205663,6.55218235715016,14.76,33.43,22.7,29.1
Groningen,1.71922685656155,5.85961342828077,35.6561546286877,56.76500508647,2.51736985197865,7.53197059712013,44.7286275299567,45.2220320209445,4.33579335793358,10.3833538335383,52.0807708077081,33.20008200082,0.90189397735244,3.57751277683135,21.4350135284097,74.0855797174066,23.3816645735815,36.5909350382464,28.5420710126727,11.4853293754995,2.99407316574699,11.3120784794605,42.6732066217045,43.0206417330881,27.7765934768706,32.0827115753571,26.5721594542741,13.5685354934982,24.37,27.81,18.97,28.85
Rotterdam,5.64855705042621,7.8874396631406,43.4117284584574,43.0522748279758,6.21840242669363,12.6693629929221,46.4610717896866,34.6511627906977,16.4816135275542,26.9532443720077,45.5740042782928,10.9911378221453,3.32765360328756,6.82569910794828,34.3389796532024,55.5076676355618,19.2482782771098,31.0143574179993,38.1463756274075,11.5909886774834,7.59287531806616,18.0356234096692,49.8320610687023,24.5394402035623,38.1561679790026,29.1229221347332,25.667104111986,7.05380577427822,14.64,27.4,22.81,35.15
Białystok,13.0829420970266,36.4736567553469,38.4767866458007,11.9666145018258,3.8685691318328,9.60610932475884,39.4694533762058,47.0558681672026,5.07187689815752,10.4170884794493,49.635553755821,34.8754808665722,2.06799152627862,6.18379905175023,35.7812972863916,55.9669121355795,35.4206198608476,40.1644528779254,17.6470588235294,6.76786843769766,5.00463392029657,8.98980537534755,50.6950880444856,35.3104726598703,11.887187396717,30.1090668723146,42.778451030076,15.2252947008924,13.7,24.23,18.99,43.08
Gdańsk,14.8246329526917,30.1182707993475,40.9869494290375,14.0701468189233,4.33333333333333,12.5151515151515,46.6464646464647,36.5050505050505,5.96321002627855,19.9717000202143,54.0731756620174,19.9919142914898,0.976936247356229,3.5552422197603,34.8172021351596,60.6506193977239,9.37675463222908,28.5345311622684,46.2661426165076,15.8225715889949,3.71883939517777,15.5394360441357,53.8618716796077,26.8798528810789,21.9619487517871,41.5264489167491,28.6594083360827,7.85219399538106,12.04,22.75,17.4,47.82
Kraków,15.2271338358118,31.4829904257486,41.4137298838867,11.8761458545529,9.44698122780314,18.2648401826484,50.6544901065449,21.6336884830035,41.7940466613033,36.4239742558327,15.919147224457,5.86283185840708,3.48684873526151,8.4853370956364,45.9034566159428,42.1243575531593,12.8193783873465,28.3154518305497,44.784868930428,14.0803008516757,5.94897959183673,15.4285714285714,56.0714285714286,22.5510204081633,30.1851851851852,41.1220043572985,22.3529411764706,6.33986928104575,12.03,23.81,17.42,46.74
Warszawa,21.7131679192834,31.6791928343457,35.8797487902811,10.7278904560898,5.71572074334505,12.1044701155198,52.8578603716725,29.3219487694626,20.6991159435017,42.3839040747892,29.9156589777462,7.00132100396301,1.28205128205128,8.27781142741773,50.5451241671714,39.8950131233596,10.7753521884074,23.3788579417142,44.0262393805786,21.8195504892999,6.19154127694185,15.5551037006913,59.505896705978,18.7474583163888,40.5638046051216,38.6270712287497,14.762212179901,6.04691198622767,10.88,22.83,17.36,48.93
Braga,8.76413570274637,20.1130856219709,52.4131663974152,18.7096122778675,3.95611032816589,23.5957318300785,50.7247835715724,21.7233742701832,4.70232088799193,17.991927346115,64.3188698284561,12.9868819374369,1.73121184829381,4.11287901531072,61.95336735715,32.2025417792455,14.0300415468201,56.6315116650687,24.7576435495899,4.58080323852136,3.92654220779221,11.7086038961039,67.288961038961,17.0758928571429,18.0963207937164,33.4642414220752,39.4894584539066,8.94997933030178,14.53,23.91,28.78,32.78
Lisboa,14.6477445514445,27.1768879878358,47.1262037506336,11.0491637100862,8.79942634706003,21.460766236427,55.060438434747,14.679368981766,9.82050753043119,32.7831648442335,50.9180936661853,6.47823395914999,2.36686390532544,8.46454718684184,62.0499448400361,27.1186440677966,21.8197224870247,48.691875860608,25.1350492532571,4.35335239911026,5.62910560889338,26.144517433047,58.2415361293583,9.98484082870137,42.207449614857,41.9753086419753,11.5542893320671,4.26295241110056,12.5,20.74,24.67,42.09
Bucureşti,25.4253015774822,29.353541602227,32.2095061346531,13.0116506856377,14.3518984792023,26.0650619397724,39.6313828180079,19.9516567630174,40.5531354472698,39.6312430351535,14.3855739033533,5.43004761422348,5.43249473789716,12.3083091109552,46.3967124386088,35.8624837125388,19.5272807598851,19.5051910757676,38.6790368897725,22.2884912745748,20.720627710097,20.8858145777411,37.5593640305596,20.8341936816023,25.6490952006294,31.3926042486231,31.1116106552771,11.8466898954704,10.93,23.11,22.22,43.73
